Tariff,Goods Description,Official Description
1513110000,COCONUT LAMP OIL,"COCONUT (COPRA) OIL AND ITS FRACTIONS, CRUDE, NOT CHEMICALLY MODIFIED"
9615196000,COMB,"COMBS, HAIR SLIDES AND THE LIKE, NESOI"
3305900000,CONDITIONER,"PREPARATIONS FOR USE ON THE HAIR, NESOI"
7615107180,COOKER,"OTHER ALUMINUM KITCHEN WARE, NESOI"
7418100025,COPPER,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7418100025,COPPER / BRASS,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7418100025,COPPER / BRASS ITEMS,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7418100025,COPPER / BRASS STUFF,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7117199000,COPPER CUFF,OTHER IMITATION JEWELRY OF BASE METAL
7418100025,COPPER ITEMS,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7418100025,COPPER ITEMS,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7117199000,COPPER JEWELRY,OTHER IMITATION JEWELRY OF BASE METAL
7418100053,COPPER MUG,"COPPER COOKING AND KITCHENWARE, OTHER THAN BRASS"
7418100025,COPPER NETRAM,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7418100025,COPPER STUFF,"BRASS TABLE AND HOUSEHOLD ARTICLES AND PARTS THEREOF, NESOI"
7418100053,COPPER WATER BOTTLE,"COPPER COOKING AND KITCHENWARE, OTHER THAN BRASS"
6307102030,COTTON CLOTH,"OTHER MADE UP ARTICLES, INCLUDING DRESS PATTERNS: OTHER FLOORCLOTHS, DISHCLOTHS, DUSTERS AND SIMILAR CLEANING CLOTHS"
9404901090,COTTON CUSHION,"PILLOWS, CUSHIONS AND SIMILAR FURNISHING OF COTTON, NESOI"
6102200010,COTTON HOODIE/JACKET,"WOMEN'S OR GIRLS' OVERCOATS, CARCOATS, CAPES, CLOAKS, ANORAKS, WINDBREAKERS, AND SIMILAR ARTICLES, KNITTED OR CROCHETTED: OF COTTON: WOMEN'S"
5607909000,COTTON ROPE,"TWINE, CORDAGE, ROPE AND CABLES, OF OTHER FIBERS, WHETHER OR NOT BRAIDED OR PLAITED"
6214900010,COTTON SHAWL,"SHAWLS, SCARVES, MUFFLERS, MANTILLAS, VEILS AND THE LIKE, OF OTHER TEXTILE MATERIALS, OF COTTON"
5908000000,COTTON WICK,"TEXTILE WICKS, WOVEN, PLAITED OR KNITTED, FOR LAMPS, STOVES, LIGHTERS, CANDLES OR THE LIKE; INCANDESCENT AND TUBULAR KNITTED GAS MANTLE FABRICS"
5908000000,COTTON WICKS,"TEXTILE WICKS, WOVEN, PLAITED OR KNITTED, FOR LAMPS, STOVES, LIGHTERS, CANDLES OR THE LIKE; INCANDESCENT AND TUBULAR KNITTED GAS MANTLE FABRICS"
7418100053,CUP,"COPPER COOKING AND KITCHENWARE, OTHER THAN BRASS"
4418298060,DOORS,"DOORS AND THEIR FRAMES AND THRESHOLDS, NESOI"
3925200010,DOORS AND FRAMES,"DOORS AND DOOR FRAMES, OF PLASTIC"
8523410000,DVD,"PREPARED UNRECORDED OPTICAL MEDIA FOR SOUND RECORDING OR SIMILAR RECORDING OF OTHER PHENOMENA, OTHER THAN PRODUCTS OF CHAPTER 37, NESOI"
9810002500,FOR POOJA PURPOSE,"ALTARS, PULPITS, COMMUNION TABLES, SHRINES ETC IMPORTED FOR USE OF AN INSTITUTION ORGANIZED AND OPERATED FOR RELIGIOUS PURPOSES"
4911914040,FRAMED PHOTO,"PICTURES, DESIGNS AND PHOTOGRAPHS, PRINTED NOT OVER 20 YEARS AT TIME OF IMPORTATION, NESOI"
